supplier_code,supplier_name,supplier_region,supplier_tier,product_category,historical_lead_time_days,capacity_score,quality_score,reliability_score,cost_score,risk_score,is_synthetic
SUP-0030,Ironbridge Sourcing Partners,Oceania,strategic,Fitness Accessories,1.6,52.63,56.33,80.24,46.7,32.85,True
SUP-0031,Redwood Trading Group,Western Europe,standard,Fitness Accessories,5.86,50.99,88.6,82.2,80.64,12.21,True
SUP-0032,Cascade Logistics,Canada,strategic,Fitness Accessories,8.46,61.87,64.45,70.41,76.46,57.56,True
SUP-0033,Windward Logistics,Canada,preferred,GPS Devices,8.44,41.37,76.65,77.97,45.82,12.72,True
SUP-0034,Ironbridge Supply Co.,Eastern Asia,preferred,GPS Devices,8.75,72.78,94.79,86.83,65.71,48.16,True
SUP-0035,Redwood Logistics,South Asia,strategic,GPS Devices,2.32,85.62,88.25,57.1,69.19,38.33,True
SUP-0036,Harbor Sourcing Partners,Northern Europe,standard,GPS Devices,6.02,62.69,67.96,67.15,75.86,52.71,True
SUP-0037,Anchor Distribution,Eastern Asia,preferred,Golf Bags & Carts,3.36,53.02,85.81,87.46,45.79,8.66,True
SUP-0038,Northgate Trading Group,Eastern Asia,standard,Golf Bags & Carts,2.6,85.36,64.9,52.48,90.65,14.1,True
SUP-0039,Harbor Sourcing Partners,West Africa,preferred,Golf Bags & Carts,2.65,46.35,51.02,47.88,49.61,7.94,True
SUP-0040,Atlas Supply Co.,Eastern Asia,standard,Golf Bags & Carts,6.61,61.65,65.26,71.24,88.13,51.81,True
SUP-0041,Beacon Distribution,West of USA,strategic,Golf Shoes,2.86,53.02,61.97,74.7,62.89,7.71,True
SUP-0042,Anchor Sourcing Partners,Eastern Europe,preferred,Golf Shoes,5.43,45.59,90.01,47.7,90.87,10.45,True
SUP-0043,Atlas Supply Co.,Western Europe,standard,Golf Shoes,8.27,93.88,88.5,85.53,75.34,47.84,True
SUP-0044,Cascade Trading Group,Southern Africa,strategic,Golf Shoes,5.52,68.28,91.16,69.07,61.18,40.18,True
SUP-0045,Frontier Trading Group,US Center,preferred,Hunting & Shooting,2.55,66.28,70.01,57.09,60.21,25.15,True
SUP-0046,Granite Supply Co.,East of USA,preferred,Hunting & Shooting,4.35,77.72,64.25,94.34,90.4,31.45,True
SUP-0047,Harbor Trading Group,Eastern Asia,preferred,Hunting & Shooting,5.52,86.67,81.32,86.83,69.3,39.81,True
SUP-0048,Sterling Logistics,Northern Europe,preferred,Hunting & Shooting,7.01,51.13,83.35,89.76,47.27,38.79,True
SUP-0049,Vanguard Sourcing Partners,US Center,strategic,Kids' Golf Clubs,6.94,44.65,94.93,52.15,92.74,49.05,True
SUP-0050,Granite Distribution,North Africa,standard,Kids' Golf Clubs,7.37,83.73,95.41,58.18,72.45,10.23,True
SUP-0051,Lighthouse Logistics,East of USA,standard,Kids' Golf Clubs,2.78,71.07,77.48,69.23,68.74,47.02,True
SUP-0052,Redwood Distribution,West Africa,standard,Kids' Golf Clubs,5.19,72.98,94.7,51.23,46.44,9.82,True
SUP-0053,Windward Sourcing Partners,Eastern Asia,standard,Men's Footwear,4.64,82.59,82.22,62.35,89.41,46.94,True
SUP-0054,Frontier Logistics,US Center,preferred,Men's Footwear,4.23,57.29,57.57,52.68,91.49,29.08,True
SUP-0055,Horizon Distribution,West Africa,preferred,Men's Footwear,6.97,70.41,94.93,85.58,66.37,25.7,True
SUP-0056,Cascade Logistics,US Center,standard,Men's Footwear,6.88,92.32,55.69,89.23,75.04,11.71,True
SUP-0057,Summit Trading Group,Southern Europe,standard,Soccer,6.65,40.68,71.81,87.92,56.24,30.22,True
SUP-0058,Redwood Trading Group,Eastern Asia,preferred,Soccer,3.76,90.51,87.5,50.75,94.84,53.36,True
SUP-0059,Vanguard Logistics,South Asia,preferred,Soccer,7.78,45.85,97.96,79.62,75.76,9.97,True
SUP-0060,Northgate Sourcing Partners,Northern Europe,standard,Soccer,1.72,53.25,56.87,85.39,50.9,55.09,True
SUP-0061,Lighthouse Sourcing Partners,South America,standard,Strength Training,1.77,40.3,52.48,76.51,84.08,18.12,True
SUP-0062,Redwood Trading Group,Southern Europe,standard,Strength Training,1.93,84.05,94.53,85.15,78.4,51.09,True
SUP-0063,Anchor Trading Group,Canada,strategic,Strength Training,3.01,46.87,74.22,83.75,74.65,51.81,True
SUP-0064,Granite Distribution,Eastern Asia,preferred,Strength Training,7.01,50.62,63.0,81.92,93.91,38.63,True
SUP-0065,Beacon Sourcing Partners,Central America,strategic,Water Sports,6.12,42.33,92.44,81.9,49.52,10.04,True
SUP-0066,Anchor Logistics,Eastern Asia,preferred,Water Sports,8.85,65.22,87.64,78.09,71.48,12.98,True
SUP-0067,Horizon Trading Group,West of USA,standard,Water Sports,3.76,71.79,83.59,78.76,91.73,13.16,True
SUP-0068,Crestline Supply Co.,Eastern Europe,standard,Water Sports,4.53,66.08,55.72,51.97,55.29,21.76,True
SUP-0069,Cascade Supply Co.,Southern Europe,preferred,Women's Apparel,6.08,74.9,69.77,66.26,51.97,37.36,True
SUP-0070,Redwood Supply Co.,Northern Europe,preferred,Women's Apparel,1.77,63.01,72.76,56.73,71.49,36.12,True
SUP-0071,Fieldstone Sourcing Partners,Canada,standard,Women's Apparel,6.36,75.88,65.18,85.95,70.2,28.73,True
SUP-0072,Windward Distribution,Southern Africa,standard,Women's Apparel,4.2,68.2,85.36,91.09,90.66,32.7,True
